Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
2015,PG-13,116 min,"Comedy, Drama, Romance",7.7,70.0,47444,3358518.0
2014,R,86 min,"Comedy, Horror",7.7,76.0,157498,3333000.0
2014,U,103 min,"Animation, Drama, Family",7.7,72.0,32798,765127.0
2014,U,123 min,"Biography, Drama, Romance",7.7,72.0,404182,35893537.0
2014,A,129 min,"Action, Adventure, Comedy",7.7,60.0,590440,128261724.0
2014,UA,126 min,"Drama, Romance",7.7,69.0,344312,124872350.0
2015,PG-13,105 min,"Comedy, Drama",7.7,74.0,123210,6743776.0
2014,A,119 min,"Comedy, Drama",7.7,87.0,580291,42340598.0
2013,A,180 min,"Drama, Romance",7.7,89.0,138741,2199675.0
2013,U,130 min,"Drama, Sport",7.7,40.0,32628,1122527.0
2012,Unknown,111 min,"Drama, Music, Romance",7.7,70.0,39379,175058.0
2014,UA,136 min,"Action, Adventure, Sci-Fi",7.7,70.0,736182,259766572.0
2011,UA,159 min,"Drama, Music, Musical",7.7,79.0,39501,985912.0
2013,UA,115 min,"Adventure, Comedy, Drama",7.7,87.0,112298,17654912.0
2012,U,101 min,"Animation, Adventure, Comedy",7.7,72.0,380195,189422889.0
2015,PG,108 min,"Animation, Adventure, Drama",7.7,70.0,56720,1339152.0
2011,Unknown,98 min,Drama,7.7,52.0,77071,71177.0
2011,PG-13,96 min,"Comedy, Fantasy, Romance",7.7,81.0,388089,56816662.0
2014,U,100 min,"Animation, Action, Adventure",7.7,83.0,323982,257760692.0
2013,UA,91 min,"Drama, Sci-Fi, Thriller",7.7,96.0,769145,274092705.0
2013,UA,132 min,"Action, Adventure, Sci-Fi",7.7,72.0,463188,228778661.0
2015,Unknown,137 min,"Drama, War",7.7,79.0,73964,83861.0
2010,UA,120 min,"Biography, Drama",7.7,95.0,624982,96962694.0
2011,UA,131 min,"Action, Adventure, Sci-Fi",7.7,65.0,645512,146408305.0
2009,UA,100 min,Comedy,7.7,73.0,717559,277322503.0
2012,UA,143 min,"Action, Adventure, Thriller",7.7,81.0,630614,304360277.0
2012,A,122 min,"Comedy, Drama, Romance",7.7,81.0,661871,132092958.0
2012,A,120 min,"Biography, Drama, Thriller",7.7,86.0,572581,136025503.0
2009,UA,95 min,"Comedy, Drama, Romance",7.7,76.0,472242,32391374.0
2010,A,146 min,"Adventure, Family, Fantasy",7.7,65.0,479120,295983305.0
2008,U,101 min,"Animation, Adventure, Comedy",7.7,86.0,125317,15090400.0
2008,R,122 min,"Biography, Drama, History",7.7,80.0,103330,18593156.0
2006,U,90 min,"Animation, Drama, Fantasy",7.7,81.0,71379,881302.0
2008,R,141 min,"Biography, Crime, Drama",7.7,63.0,239203,35739802.0
2010,PG,90 min,"Comedy, Drama, Romance",7.7,45.0,81446,1752214.0
2006,U,98 min,"Animation, Adventure, Comedy",7.7,79.0,60368,23530892.0
2006,Unknown,126 min,"Crime, Drama, Fantasy",7.7,79.0,28630,23530892.0
2006,Unknown,101 min,"Crime, Drama",7.7,86.0,115576,327919.0
2014,UA,108 min,"Drama, Sci-Fi, Thriller",7.7,78.0,474141,25442958.0
2006,R,120 min,Drama,7.7,78.0,32001,412544.0
2006,R,123 min,"Biography, Drama, History",7.7,74.0,175355,17605861.0
2007,UA,157 min,"Crime, Drama, Mystery",7.7,78.0,466080,33080084.0
2006,R,110 min,"Action, Crime, Drama",7.7,53.0,299524,22494487.0
2005,PG-13,116 min,"Drama, History, Music",7.7,70.0,28003,1054361.0
2007,R,122 min,"Biography, Drama, Music",7.7,78.0,61609,871577.0
2010,U,100 min,"Animation, Adventure, Comedy",7.7,71.0,405922,200821936.0
2006,R,145 min,"Drama, Thriller, War",7.7,71.0,72643,4398392.0
2005,A,134 min,"Drama, Romance",7.7,87.0,323103,83043761.0
2007,A,122 min,"Action, Crime, Drama",7.7,76.0,288797,53606916.0
2004,UA,112 min,"Crime, Drama, Thriller",7.7,66.0,419483,54580300.0
2004,UA,99 min,"Action, Comedy, Fantasy",7.7,78.0,127250,17108591.0
2004,A,108 min,"Action, Mystery, Thriller",7.7,73.0,434841,176241941.0
2004,R,101 min,"Drama, Thriller",7.7,61.0,358432,1082715.0
2004,A,152 min,"Biography, Drama, Music",7.7,73.0,138356,75331600.0
2003,UA,102 min,"Comedy, Drama",7.7,89.0,415074,44585453.0
2005,UA,157 min,"Adventure, Family, Fantasy",7.7,81.0,548619,290013036.0
2004,UA,146 min,"Action, Crime, Drama",7.7,47.0,329592,77911774.0
2009,U,100 min,"Animation, Drama, Family",7.7,80.0,197761,75286229.0
2003,UA,154 min,"Action, Drama",7.7,55.0,400049,111110575.0
2002,R,114 min,Drama,7.7,83.0,25938,4890878.0
2003,R,121 min,"Comedy, Drama, Romance",7.7,68.0,137981,4064200.0
2002,PG-13,105 min,Drama,7.7,76.0,40403,15539266.0
2001,PG-13,132 min,Drama,7.7,28.0,142863,40311852.0
2002,R,115 min,"Comedy, Drama",7.7,83.0,178565,22245861.0
2001,A,144 min,"Drama, History, War",7.7,74.0,364254,108638745.0
2002,A,117 min,"Crime, Drama, Thriller",7.7,72.0,246840,104454762.0
2001,R,120 min,"Drama, Thriller",7.7,60.0,90842,141072.0
2000,R,110 min,"Drama, Music",7.7,74.0,126770,21995263.0
2001,R,95 min,"Comedy, Drama, Music",7.7,85.0,31957,3029081.0
2001,UA,116 min,"Crime, Thriller",7.7,74.0,516372,183417150.0
2000,U,103 min,"Animation, Action, Fantasy",7.7,62.0,29210,151086.0
2000,U,107 min,"Adventure, Comedy, Crime",7.7,69.0,286742,45512588.0
2002,R,116 min,"Adventure, Comedy, Drama",7.7,79.0,29999,23530892.0
1999,A,81 min,"Animation, Comedy, Fantasy",7.7,73.0,192112,52037603.0
1999,R,89 min,Comedy,7.7,68.0,241575,10824921.0
1998,Unknown,134 min,"Comedy, Drama",7.7,81.0,66408,2807390.0
2001,A,122 min,"Crime, Drama, Thriller",7.7,69.0,390247,76631907.0
1998,UA,93 min,"Comedy, Drama, Romance",7.7,86.0,169229,17105219.0
1997,U,119 min,"Drama, Mystery, Sci-Fi",7.7,79.0,64082,368234.0
1999,R,113 min,"Comedy, Drama, Fantasy",7.7,90.0,312542,22858926.0
1997,A,139 min,"Comedy, Drama, Romance",7.7,67.0,275755,148478011.0
1997,UA,126 min,"Action, Adventure, Sci-Fi",7.7,52.0,434125,63540020.0
1998,PG-13,80 min,Comedy,7.7,73.0,37424,4065116.0
1997,A,127 min,"Biography, Crime, Drama",7.7,76.0,279318,41909762.0
1996,U,105 min,"Biography, Drama, Music",7.7,87.0,51350,35811509.0
1996,A,129 min,"Crime, Drama, Mystery",7.7,47.0,189716,56116183.0
1996,PG-13,242 min,Drama,7.7,79.0,35991,4414535.0
1995,U,97 min,"Drama, Family, Fantasy",7.7,83.0,32236,10019307.0
1995,UA,99 min,"Comedy, Crime, Drama",7.7,71.0,26429,23530892.0
1994,U,108 min,"Biography, Comedy, Drama",7.7,81.0,33600,21848932.0
1994,R,92 min,Comedy,7.7,70.0,211450,3151130.0
1993,R,188 min,"Comedy, Drama",7.7,79.0,42275,6110979.0
1993,UA,125 min,Drama,7.7,66.0,224169,77324422.0
1992,G,85 min,"Comedy, Drama, Family",7.7,64.0,50298,27281507.0
1992,U,202 min,"Biography, Drama, History",7.7,73.0,85819,48169908.0
1992,UA,112 min,"Action, Adventure, Drama",7.7,76.0,150409,75505856.0
1992,U,94 min,"Animation, Adventure, Comedy",7.7,83.0,77798,23530892.0
1992,R,100 min,"Crime, Drama, Mystery",7.7,82.0,95826,10725228.0
1992,U,138 min,"Drama, Thriller",7.7,62.0,235388,141340178.0
1991,PG-13,130 min,Drama,7.7,64.0,66941,82418501.0
1991,U,116 min,"Comedy, Drama, Thriller",7.7,69.0,113240,6153939.0
1990,R,115 min,"Crime, Drama, Thriller",7.7,66.0,125822,5080409.0
1988,U,104 min,"Animation, Adventure, Comedy",7.7,83.0,182009,156452370.0
1988,Unknown,107 min,"Mystery, Thriller",7.7,79.0,33982,23530892.0
1987,R,107 min,"Comedy, Drama",7.7,84.0,40396,1544889.0
1987,U,163 min,"Biography, Drama, History",7.7,76.0,94326,43984230.0
1987,U,153 min,"Action, Drama, History",7.7,62.0,115677,22238696.0
1986,R,130 min,"Crime, Drama, Mystery",7.7,54.0,102031,7153487.0
1986,A,120 min,"Drama, Mystery, Thriller",7.7,76.0,181285,8551228.0
1985,U,82 min,"Comedy, Fantasy, Romance",7.7,75.0,47102,10631333.0
1985,UA,97 min,"Comedy, Crime, Drama",7.7,90.0,59635,10600000.0
1983,PG,79 min,Comedy,7.7,79.0,39881,11798616.0
1982,U,129 min,Drama,7.7,77.0,36096,54000000.0
1982,U,113 min,"Action, Adventure, Sci-Fi",7.7,67.0,112704,78912963.0
1982,A,93 min,"Action, Adventure",7.7,61.0,226541,47212904.0
1980,U,124 min,Drama,7.7,86.0,47099,54800000.0
1980,U,88 min,Comedy,7.7,78.0,214882,83400000.0
1979,U,100 min,"Animation, Adventure, Family",7.7,71.0,27014,23530892.0
1978,A,91 min,"Horror, Thriller",7.7,87.0,233106,47000000.0
1976,R,126 min,"Drama, Thriller",7.7,71.0,39889,1924733.0
1975,PG,85 min,"Comedy, War",7.7,89.0,36037,23530892.0
1974,U,104 min,"Action, Crime, Thriller",7.7,68.0,26729,23530892.0
1974,A,93 min,"Comedy, Western",7.7,73.0,125993,119500000.0
1973,A,130 min,"Biography, Crime, Drama",7.7,87.0,109941,29800000.0
1973,A,102 min,"Action, Crime, Drama",7.7,83.0,96561,25000000.0
1972,U,109 min,"Adventure, Drama, Thriller",7.7,80.0,98740,7056013.0
1971,A,104 min,"Action, Crime, Drama",7.7,94.0,110075,15630710.0
1971,A,102 min,"Action, Crime, Thriller",7.7,90.0,143292,35900000.0
1968,U,158 min,"Action, Adventure, War",7.7,63.0,51913,23530892.0
1968,G,105 min,Comedy,7.7,86.0,31572,44527234.0
1967,Unknown,150 min,"Action, Adventure, War",7.7,73.0,67183,45300000.0
1967,A,100 min,"Drama, Romance",7.7,79.0,40274,26331.0
1966,U,120 min,"Biography, Drama, History",7.7,72.0,31222,28350000.0
1965,Unknown,105 min,"Drama, Horror, Thriller",7.7,91.0,48883,23530892.0
1964,U,138 min,"Drama, History, War",7.7,77.0,35999,23530892.0
1964,A,110 min,"Action, Adventure, Thriller",7.7,87.0,174119,51081062.0
1963,A,119 min,"Drama, Horror, Mystery",7.7,90.0,171739,11403529.0
1962,Passed,106 min,"Drama, Thriller",7.7,76.0,26457,23530892.0
1960,Unknown,101 min,"Drama, Horror, Thriller",7.7,79.0,31354,83957.0
1960,Approved,128 min,"Action, Adventure, Western",7.7,74.0,87719,4905000.0
1960,Unknown,90 min,"Drama, Horror",7.7,90.0,27620,52709.0
1956,Approved,80 min,"Drama, Horror, Sci-Fi",7.7,92.0,44839,23530892.0
1955,PG-13,111 min,Drama,7.7,89.0,83363,23530892.0
1955,Unknown,91 min,"Comedy, Crime",7.7,91.0,26464,23530892.0
1954,Passed,113 min,"Comedy, Drama, Romance",7.7,72.0,59415,23530892.0
1952,Passed,129 min,"Comedy, Drama, Romance",7.7,79.0,34677,10550000.0
1951,U,92 min,"Drama, Sci-Fi",7.7,79.0,76315,23530892.0
1951,PG,105 min,"Adventure, Drama, Romance",7.7,91.0,71481,536118.0
1946,Approved,110 min,"Drama, Film-Noir, Romance",7.7,79.0,27991,23530892.0
1940,G,125 min,"Animation, Family, Fantasy",7.7,96.0,88662,76408097.0
1933,TV-PG,71 min,"Horror, Sci-Fi",7.7,87.0,30683,23530892.0
2019,PG-13,126 min,"Biography, Drama, History",7.6,73.0,60408,23530892.0
2018,U/A,102 min,"Drama, Mystery, Thriller",7.6,71.0,140840,26020957.0
2019,A,161 min,"Comedy, Drama",7.6,83.0,551309,142502728.0
2017,R,127 min,Drama,7.6,86.0,29765,566356.0
2017,A,111 min,Drama,7.6,92.0,95181,5904366.0
2019,A,137 min,"Biography, Crime, Drama",7.6,68.0,46739,23530892.0
2017,PG-13,101 min,Drama,7.6,60.0,99643,24801212.0
2019,PG-13,97 min,"Adventure, Comedy, Drama",7.6,70.0,66346,13122642.0
2015,Unknown,138 min,"Crime, Drama, Romance",7.6,77.0,52903,23530892.0
2015,PG-13,97 min,Drama,7.6,83.0,35785,845464.0
2017,UA,136 min,"Action, Adventure, Comedy",7.6,67.0,569974,389813101.0
2017,UA,113 min,"Action, Crime, Drama",7.6,86.0,439406,107825862.0
2017,UA,134 min,"Action, Biography, Drama",7.6,72.0,58371,18340051.0
2015,UA,142 min,"Drama, History, Thriller",7.6,81.0,287659,72313754.0
2018,UA,118 min,"Animation, Action, Adventure",7.6,80.0,250057,608581744.0
2016,U,107 min,"Animation, Adventure, Comedy",7.6,81.0,272784,248757044.0
2015,A,121 min,"Action, Crime, Drama",7.6,82.0,371291,46889293.0
2015,A,133 min,"Drama, Sport",7.6,82.0,247666,109767581.0
2014,R,140 min,"Crime, Drama",7.6,92.0,49397,1092800.0
2016,R,102 min,"Action, Crime, Drama",7.6,88.0,204175,26862450.0
2013,PG-13,98 min,"Biography, Comedy, Drama",7.6,77.0,94212,37707719.0
2014,UA,130 min,"Action, Adventure, Drama",7.6,79.0,411599,208545589.0
2012,Unknown,112 min,"Mystery, Thriller",7.6,79.0,57549,23530892.0
2011,A,101 min,"Action, Thriller",7.6,73.0,190531,4105123.0
2012,A,109 min,"Action, Crime, Drama",7.6,68.0,228132,41003371.0
2010,U,94 min,"Animation, Adventure, Family",7.6,80.0,80939,19202743.0
2018,UA,136 min,"Drama, Music, Romance",7.6,88.0,334312,215288866.0
2010,PG-13,110 min,"Drama, Western",7.6,80.0,311822,171243005.0
2010,R,118 min,"Drama, Romance",7.6,65.0,38491,1008098.0
2010,U,95 min,"Animation, Comedy, Crime",7.6,72.0,500851,251513985.0
2011,R,100 min,"Comedy, Drama, Romance",7.6,72.0,315426,35014192.0
2010,UA,117 min,"Action, Comedy, Crime",7.6,66.0,524081,48071303.0
2009,Unknown,113 min,"Action, Adventure, Crime",7.6,79.0,63882,23530892.0
2011,PG-13,133 min,"Biography, Drama, Sport",7.6,87.0,369529,75605492.0
2011,R,120 min,"Drama, Horror, Thriller",7.6,70.0,138959,3185812.0
2009,A,88 min,"Adventure, Comedy, Fantasy",7.6,73.0,520041,75590286.0
2008,Unknown,107 min,"Drama, Thriller",7.6,79.0,102742,23530892.0
2009,PG-13,128 min,"Action, Adventure, Mystery",7.6,57.0,583158,209028679.0
2009,UA,129 min,"Biography, Drama, Sport",7.6,53.0,293266,255959475.0
2007,PG-13,104 min,Drama,7.6,79.0,41544,9422422.0
2008,UA,123 min,Drama,7.6,36.0,286770,69951824.0
2007,R,100 min,"Action, Crime, Drama",7.6,82.0,227760,17114882.0
2007,U,127 min,"Adventure, Family, Fantasy",7.6,66.0,255036,38634938.0
2009,Unknown,71 min,"Animation, Adventure, Family",7.6,81.0,31779,686383.0
2006,R,129 min,"Crime, Drama, Mystery",7.6,76.0,339757,88513495.0
2007,R,114 min,"Crime, Drama, Mystery",7.6,72.0,250590,20300218.0
2007,PG-13,140 min,"Biography, Drama, Music",7.6,66.0,82781,10301706.0
2006,PG-13,104 min,"Action, Biography, Drama",7.6,70.0,72863,24633730.0
2006,U,110 min,"Drama, Fantasy, Mystery",7.6,68.0,354728,39868642.0
2004,Unknown,90 min,"Crime, Drama, Thriller",7.6,52.0,49728,6013.0
2009,UA,153 min,"Action, Adventure, Family",7.6,78.0,474827,301959197.0
2006,A,117 min,"Action, Drama",7.6,52.0,732876,210614939.0
2005,R,124 min,"Drama, Romance, Thriller",7.6,72.0,206294,23089926.0
2009,A,162 min,"Action, Drama, Mystery",7.6,56.0,500799,107509799.0
2005,R,122 min,"Action, Crime, Drama",7.6,62.0,294140,24149632.0
2004,UA,103 min,"Horror, Mystery, Thriller",7.6,46.0,379020,56000369.0
2008,R,124 min,Drama,7.6,67.0,83158,3081925.0
2004,R,105 min,Drama,7.6,73.0,65939,697181.0
2003,R,93 min,"Comedy, Drama, Romance",7.6,45.0,67360,548707.0
2004,U,133 min,"Drama, Mystery, Romance",7.6,76.0,70925,6167817.0
2003,R,89 min,"Comedy, Drama",7.6,81.0,67370,5739376.0
2003,UA,124 min,"Crime, Drama, Thriller",7.6,70.0,224545,16290476.0
2002,R,129 min,"Crime, Drama, Thriller",7.6,56.0,62659,45289.0
2004,U,106 min,"Biography, Drama, Family",7.6,67.0,198677,51680613.0
2002,R,135 min,Drama,7.6,68.0,169708,13060843.0
2004,U,113 min,"Drama, Sci-Fi, Thriller",7.6,30.0,451479,57938693.0
2002,A,113 min,"Drama, Horror, Sci-Fi",7.6,73.0,376853,45064915.0
2000,Unknown,114 min,"Action, Adventure, Drama",7.6,81.0,169091,23530892.0
2001,A,110 min,"Comedy, Drama",7.6,76.0,266842,52364010.0
2001,A,106 min,Drama,7.6,88.0,115827,13622333.0
2001,U,152 min,"Adventure, Family, Fantasy",7.6,64.0,658185,317575550.0
2001,PG-13,101 min,"Horror, Mystery, Thriller",7.6,74.0,337651,96522687.0
2001,R,124 min,"Biography, Crime, Drama",7.6,52.0,240714,52990775.0
2001,A,131 min,"Drama, History, War",7.6,53.0,243729,51401758.0
2002,A,145 min,"Action, Crime, Mystery",7.6,80.0,508417,132072926.0
1999,R,146 min,"Biography, Drama, Sport",7.6,74.0,91557,50668906.0
2000,A,101 min,"Comedy, Crime, Drama",7.6,64.0,490062,15070285.0
1998,UA,81 min,"Crime, Drama, Thriller",7.6,77.0,188317,7267585.0
1998,A,170 min,"Drama, War",7.6,78.0,172710,36400491.0
1998,U,88 min,"Animation, Adventure, Family",7.6,71.0,256906,120620254.0
1998,R,118 min,"Adventure, Comedy, Drama",7.6,41.0,259753,10680275.0
1997,A,108 min,"Crime, Drama, Thriller",7.6,69.0,65058,23530892.0
1998,A,100 min,"Mystery, Sci-Fi, Thriller",7.6,66.0,187927,14378331.0
1996,UA,147 min,"Crime, Drama, Thriller",7.6,49.0,186734,49100000.0
1997,A,134 min,"Mystery, Thriller",7.6,52.0,131101,3796699.0
1995,U,136 min,"Drama, Romance",7.6,84.0,102598,43182776.0
1995,A,128 min,"Action, Adventure, Thriller",7.6,58.0,364420,100012499.0
1995,R,121 min,"Adventure, Drama, Fantasy",7.6,62.0,90442,1037847.0
1995,A,135 min,"Drama, Romance",7.6,69.0,73172,71516617.0
PG,U,140 min,"Adventure, Drama, History",7.6,77.0,269197,173837933.0
1994,U,92 min,"Comedy, Drama, Romance",7.6,88.0,64390,1464625.0
1993,R,113 min,"Action, Crime, Drama",7.6,56.0,171640,40903593.0
1993,U,102 min,Comedy,7.6,78.0,165465,7993039.0
1992,UA,120 min,"Comedy, Crime",7.6,68.0,107325,52929168.0
1991,U,118 min,"Animation, Drama, Romance",7.6,90.0,27071,453243.0
1991,R,99 min,"Comedy, Crime",7.6,66.0,80487,1794187.0
1990,U,103 min,"Comedy, Family",7.6,63.0,488817,285761243.0
1990,A,162 min,"Crime, Drama",7.6,60.0,359809,66666062.0
1989,UA,95 min,"Comedy, Drama, Romance",7.6,76.0,195663,92823600.0
1989,U,83 min,"Animation, Family, Fantasy",7.6,88.0,237696,111543479.0
1988,U,85 min,"Comedy, Crime",7.6,76.0,152871,78756177.0
1987,U,93 min,"Comedy, Drama",7.6,72.0,124773,49530280.0
1987,A,109 min,"Action, Crime, Thriller",7.6,68.0,236894,65207127.0
1984,A,99 min,"Crime, Drama, Thriller",7.6,82.0,87745,2150000.0
1981,UA,109 min,Drama,7.6,68.0,27650,119285432.0
1981,A,96 min,"Action, Adventure, Sci-Fi",7.6,77.0,166588,12465371.0
1979,UA,92 min,"Action, Crime, Thriller",7.6,65.0,93878,22490039.0
1979,U,95 min,"Adventure, Comedy, Family",7.6,74.0,32802,76657000.0
1979,A,112 min,"Action, Biography, Crime",7.6,76.0,121731,43000000.0
1978,U,91 min,"Animation, Adventure, Drama",7.6,64.0,33656,23530892.0
1978,A,121 min,"Biography, Crime, Drama",7.6,59.0,73662,35000000.0
1977,U,138 min,"Drama, Sci-Fi",7.6,90.0,184966,132088635.0
1973,A,112 min,"Comedy, Crime, Drama",7.6,87.0,26337,959000.0
1971,PG,157 min,"Drama, War, Western",7.6,77.0,30144,696690.0
1970,GP,144 min,"Adventure, Comedy, War",7.6,50.0,45338,1378435.0
1967,U,78 min,"Animation, Adventure, Family",7.6,65.0,166409,141843612.0
1966,A,111 min,"Drama, Mystery, Thriller",7.6,82.0,56513,23530892.0
1964,U,87 min,"Comedy, Music, Musical",7.6,96.0,40351,13780024.0
1961,A,115 min,"Comedy, Drama, Romance",7.6,76.0,166544,23530892.0
1956,G,201 min,"Drama, Western",7.6,84.0,34075,23530892.0
1953,Passed,118 min,"Drama, Romance, War",7.6,85.0,43374,30500000.0
1944,Unknown,97 min,"Drama, War",7.6,78.0,26471,23530892.0
1935,Unknown,86 min,"Crime, Mystery, Thriller",7.6,93.0,51853,23530892.0
